question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Medium,Backend Development,,,,,,Rephrase: Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Compare different approaches to schema design and justify which you'd pick for high throughput systems.,Backend Development,Medium,medium,Compare different approaches to schema design and justify which you'd pick for high throughput systems.
What are common pitfalls when implementing sequence-to-sequence models and how do you mitigate them?,Medium,Deep Learning,,,,,,Another way to ask: What are common pitfalls when implementing sequence-to-sequence models and how do you mitigate them?,What are common pitfalls when implementing sequence-to-sequence models and how do you mitigate them?,Deep Learning,Medium,medium,What are common pitfalls when implementing sequence-to-sequence models and how do you mitigate them?
How would you approach observability for a large-scale system?,Easy,Backend Development,,,,,,Short version: How would you approach observability for a large-scale system?,How would you approach observability for a large-scale system?,Backend Development,Easy,easy,How would you approach observability for a large-scale system?
Design a solution: Explain fine-tuning large models and when you'd use it in production.,Hard,Deep Learning,,,,,,Rephrase: Design a solution: Explain fine-tuning large models and when you'd use it in production.,Design a solution: Explain fine-tuning large models and when you'd use it in production.,Deep Learning,Hard,hard,Design a solution: Explain fine-tuning large models and when you'd use it in production.
What are common pitfalls when implementing autoscaling and how do you mitigate them?,Medium,Cloud & DevOps,,,,,,Alternate phrasing: What are common pitfalls when implementing autoscaling and how do you mitigate them?,What are common pitfalls when implementing autoscaling and how do you mitigate them?,Cloud & DevOps,Medium,medium,What are common pitfalls when implementing autoscaling and how do you mitigate them?
How would you approach event-driven architecture for a large-scale system?,Medium,System Design,,,,,,Rephrase: How would you approach event-driven architecture for a large-scale system?,How would you approach event-driven architecture for a large-scale system?,System Design,Medium,medium,How would you approach event-driven architecture for a large-scale system?
Design a solution: Describe the trade-offs involved in graph algorithms.,Hard,Algorithms,,,,,,Rephrase: Design a solution: Describe the trade-offs involved in graph algorithms.,Design a solution: Describe the trade-offs involved in graph algorithms.,Algorithms,Hard,hard,Design a solution: Describe the trade-offs involved in graph algorithms.
Design a solution: Describe the trade-offs involved in class imbalance.,Hard,Machine Learning,,,,,,Alternate phrasing: Design a solution: Describe the trade-offs involved in class imbalance.,Design a solution: Describe the trade-offs involved in class imbalance.,Machine Learning,Hard,hard,Design a solution: Describe the trade-offs involved in class imbalance.
Explain the concept of supervised vs unsupervised learning with a short example. Latency must stay below 200ms.,Medium,Machine Learning,,,,,,Alternate phrasing: Explain the concept of supervised vs unsupervised learning with a short example. Latency must stay below 200ms.,Explain the concept of supervised vs unsupervised learning with a short example. Latency must stay below 200ms.,Machine Learning,Medium,medium,Explain the concept of supervised vs unsupervised learning with a short example. Latency must stay below 200ms.
"Design a solution: Give an example where security (xss, csrf) would fail, and how you'd detect or fix it. Requires cross-region fault tolerance.",Hard,Web Development,,,,,,"Alternate phrasing: Design a solution: Give an example where security (xss, csrf) would fail, and how you'd detect or fix it. Requires cross-region fault tolerance.","Design a solution: Give an example where security (xss, csrf) would fail, and how you'd detect or fix it. Requires cross-region fault tolerance.",Web Development,Hard,hard,"Design a solution: Give an example where security (xss, csrf) would fail, and how you'd detect or fix it. Requires cross-region fault tolerance."
Design an architecture or algorithm to solve eda techniques and explain your choices.,Medium,Data Science,,,,,,Rephrase: Design an architecture or algorithm to solve eda techniques and explain your choices.,Design an architecture or algorithm to solve eda techniques and explain your choices.,Data Science,Medium,medium,Design an architecture or algorithm to solve eda techniques and explain your choices.
Design a solution: How do you evaluate the effectiveness of sampling strategies in a real project?,Hard,Data Science,,,,,,Another way to ask: Design a solution: How do you evaluate the effectiveness of sampling strategies in a real project?,Design a solution: How do you evaluate the effectiveness of sampling strategies in a real project?,Data Science,Hard,hard,Design a solution: How do you evaluate the effectiveness of sampling strategies in a real project?
